"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,8.47995596918444,0.241565004609029,0.000633221676018106,0.113121856261363,11.3388930371971,0.186185923107789,6.44823948628714e-05,0.084413757375083,10.4378553317814,0.238761905246454,0.00108128021507509,0.15753274235706,24.8278434834832,2.75864927594258,0,0.0237142622110344,0.0107642945571704,0.0287854842292274,0.0179632712790768,0,0,0,0,13.2761665739505,0.144892211737152,0.0722508109370468
2,9.21038279047366,0.224352790571584,9.49551263268987e-05,0.0711512559972707,11.2853645010421,0.180623501745406,1.44143903442281e-05,0.0555076026266001,10.9970907951371,0.227883236659624,0.000369907393828461,0.106003404403982,26.8898616807411,2.98776240897124,0,0.0208289400257569,0.0108905958353701,0.0301790320793564,0.0239249577966665,0,0,0,0,13.3050972166366,0.141687879993131,0.0306216614476969
3,9.58091849295886,0.210625341803386,7.00434544255044e-05,0.0418714089318319,11.2763316433843,0.173561375133944,6.95641101660187e-06,0.0373896693544608,11.3235087821203,0.220162109954654,0.000547478128704698,0.0649941349993446,24.1831308760194,2.68701454177993,0,0.0239718104562452,0.0170166677718098,0.0268916206751963,0.0199922571314954,0,0,0,0,13.3309292095214,0.136738640393574,0.0123546689559148
4,9.72034415845342,0.198946955952281,0.000411316770031975,0.024354570048879,11.2569983354122,0.166852971761526,1.35399806165638e-05,0.026102120653311,11.5166904334892,0.221889473867556,0.0446437192312722,0.036659820757014,22.6617848046158,2.51797608940176,0,0.0199470315350308,0.0143291651814555,0.0341524294621888,0.0346877841678049,0,0,0,0,13.2673695345214,0.131969318081007,0.00648287450708175
5,9.70623703402818,0.197778742433527,0.0816804118661036,0.0131717524894771,11.2671960633278,0.160263255113994,0.000146398062161447,0.0190109877359502,9.48247423434062,0.330534183496035,1.18759278187337,0.218990309225343,17.4514702555004,1.93905225061115,0,0.0130305964765804,0.0085099887806699,0.0220279358456143,0.0196595962721563,0,0,0,0,13.2037303593292,0.128306116709615,0.00475968187980204
6,6.39544031035292,0.35361216884959,1.85140876394269,0.524779446923132,11.2596750860429,0.155830410202014,0.00165298388596799,0.0185548705462353,6.11346762196857,0.48525983925877,1.8284270026572,1.09588307004097,16.2683718039431,1.80759686710479,0,0.0104407311439337,0.00572457615773947,0.0219769691604943,0.0140440263341935,0,0,0,0,13.1959389179123,0.124538510590284,0.00380989675480533
7,4.8620329809486,0.461729577566163,0.832862637140098,1.70659514062795,11.2762101176183,0.154422826955539,0.00121542222760755,0.103758481610862,5.06431363585695,0.515289173198909,0.74233749540186,1.77082281864199,16.1946276334231,1.79940307038035,0,0.00879698425471302,0.00468918062265842,0.0219122974485296,0.0125070003801227,0,0,0,0,13.1577512384407,0.121419925953141,0.00453993907590106
8,4.37202626034008,0.414477901370772,0.544025522782547,1.42198293873422,11.2832233937726,0.158996420934558,0.000395469482170254,0.232787024103045,4.70195949073316,0.434692499828544,0.461536830297773,1.36748158306621,16.8197292002112,1.86885880002346,0,0.0108115144357223,0.00481500329496983,0.0216187151741185,0.0110176794793165,0,0,0,0,13.2263235883792,0.118572547158495,0.0210190533985758
9,4.21000494269124,0.409826424360051,0.408599352826772,0.949295407212262,11.2894408001014,0.17043381111827,0.000223990967762377,0.289713686014787,4.27905642481248,0.420217875210148,0.4481860847446,0.970022481213324,18.5268010414942,2.05853344905491,0,0.0133058948752781,0.0085103547289258,0.0246232108301705,0.0206437468018738,0,0,0,0,13.2861752117726,0.117367475572199,0.0642927930552367
10,4.82298832073714,0.384691087754722,0.167319830363194,0.597249703359732,11.2860055623501,0.182561788218195,0.000562486395752527,0.268798086704439,4.62254285796977,0.419368854283843,0.291311222511996,0.68259980280846,19.887807555336,2.20975639503733,0,0.0162959884216983,0.0142605615831259,0.0328627563068806,0.0331389573982097,0,0,0,0,13.2701175783209,0.122507472011388,0.134566505443103
11,6.08431549187029,0.308949607641363,0.0342588194517215,0.333629638446898,11.2973722533631,0.187817050406152,0.00053491791165983,0.195052555787346,6.14689024471523,0.338953502417962,0.0824332736168146,0.395240816995906,21.1124538981286,2.34582821090317,0,0.0136524638427155,0.00692392095169496,0.0264021709916138,0.0147900881711394,0,0,0,0,13.2125282875977,0.133101624892801,0.188110923691963
12,7.29284948431939,0.267317828433431,0.00546855370940764,0.194424400249995,11.3052113684602,0.188574063274629,0.000236057347329388,0.129666580538978,8.12151467640905,0.27068172600402,0.0107941711635752,0.244058924906725,22.7803750875942,2.53115278751047,0,0.0204255912787697,0.0103377167367235,0.0290666651066547,0.0176807525911055,0,0,0,0,13.2500228064778,0.141812540303235,0.143602551420129
