"Month","Variable","median","lower_centile","upper_centile","Units","low_cent_value","upp_cent_value","Comments"
"Jan","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Feb","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Mar","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Apr","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"May","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Jun","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Jul","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Aug","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Sep","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Oct","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Nov","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Dec","deep_nitrate",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Jan","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Feb","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Mar","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Apr","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"May","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Jun","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Jul","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Aug","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Sep","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Oct","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Nov","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Dec","surface_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_0_30m_2003-2013_not_yet_extracted"
"Jan","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Feb","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Mar","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Apr","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"May","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Jun","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Jul","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Aug","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Sep","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Oct","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Nov","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Dec","deep_ammonia",NA,NA,NA,"mMNm3",17,83,"ICES_hydrochemical_database_Celtic_Sea_30-seabed_2003-2013_not_yet_extracted"
"Jan","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Feb","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Mar","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Apr","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"May","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jun","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jul","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Aug","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Sep","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Oct","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Nov","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Dec","omniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jan","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Feb","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Mar","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Apr","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"May","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jun","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jul","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Aug","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Sep","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Oct","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Nov","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Dec","carniv_zooplankton",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jan","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Feb","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Mar","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Apr","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"May","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jun","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jul","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Aug","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Sep","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Oct","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Nov","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Dec","larvae_susp_dep_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jan","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Feb","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Mar","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Apr","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"May","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jun","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jul","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Aug","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Sep","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Oct","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Nov","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Dec","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,"SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted"
"Jan","surface_chlorophyll",0,0,0,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Feb","surface_chlorophyll",0.137834896051915,0.126427894007623,0.150657056719756,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Mar","surface_chlorophyll",0.175436391705687,0.166593297247755,0.195140420331818,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Apr","surface_chlorophyll",0.208197120260555,0.195231514595764,0.253468789595297,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"May","surface_chlorophyll",0.444152207514468,0.36558551184762,0.562251403595562,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Jun","surface_chlorophyll",0.632492993844389,0.512177619753629,0.694200745076635,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Jul","surface_chlorophyll",0.479839782833787,0.433039857433252,0.579287910517025,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Aug","surface_chlorophyll",0.409682004728586,0.386893839632186,0.594851806634575,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Sep","surface_chlorophyll",0.536493859997031,0.467943621693941,0.590097036839192,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Oct","surface_chlorophyll",0.375497025947598,0.305863450128557,0.41434760627072,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Nov","surface_chlorophyll",0.0606462994350388,0.048605264912302,0.0701101474836401,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
"Dec","surface_chlorophyll",0,0,0,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Norwegian_Basin_MA 2010-2019"
